,ID,Accession,age,sex
0,/experiments/ENCSR814LMX/,ENCSR814LMX,31,male
1,/experiments/ENCSR630LZS/,ENCSR630LZS,41,male
2,/experiments/ENCSR012APQ/,ENCSR012APQ,66,male
3,/experiments/ENCSR763BII/,ENCSR763BII,42,female
4,/experiments/ENCSR002SMQ/,ENCSR002SMQ,68,male
5,/experiments/ENCSR540DHJ/,ENCSR540DHJ,53,female
6,/experiments/ENCSR654MFX/,ENCSR654MFX,58,male
7,/experiments/ENCSR237HWJ/,ENCSR237HWJ,64,male
8,/experiments/ENCSR008CVR/,ENCSR008CVR,67,male
9,/experiments/ENCSR273JWD/,ENCSR273JWD,39,male
10,/experiments/ENCSR489URW/,ENCSR489URW,66,male
11,/experiments/ENCSR762LML/,ENCSR762LML,54,male
12,/experiments/ENCSR084XKX/,ENCSR084XKX,30,male
13,/experiments/ENCSR190TRK/,ENCSR190TRK,59,female
14,/experiments/ENCSR851JBE/,ENCSR851JBE,63,male
15,/experiments/ENCSR345CVL/,ENCSR345CVL,37,male
16,/experiments/ENCSR919ENI/,ENCSR919ENI,51,male
17,/experiments/ENCSR753YOZ/,ENCSR753YOZ,55,male
18,/experiments/ENCSR076ZLE/,ENCSR076ZLE,61,female
19,/experiments/ENCSR455MGH/,ENCSR455MGH,32,female
20,/experiments/ENCSR788SNY/,ENCSR788SNY,68,male
21,/experiments/ENCSR085XEW/,ENCSR085XEW,65,male
22,/experiments/ENCSR777RUZ/,ENCSR777RUZ,62,male
23,/experiments/ENCSR231FNL/,ENCSR231FNL,32,male
24,/experiments/ENCSR328GTN/,ENCSR328GTN,68,male
25,/experiments/ENCSR980OCK/,ENCSR980OCK,47,female
26,/experiments/ENCSR991LHO/,ENCSR991LHO,65,male
27,/experiments/ENCSR056QLB/,ENCSR056QLB,50,male
28,/experiments/ENCSR157FDD/,ENCSR157FDD,30,male
29,/experiments/ENCSR906MRL/,ENCSR906MRL,44,male
30,/experiments/ENCSR994VEG/,ENCSR994VEG,51,female
31,/experiments/ENCSR175TRJ/,ENCSR175TRJ,61,male
32,/experiments/ENCSR485GOL/,ENCSR485GOL,51,male
33,/experiments/ENCSR488UUT/,ENCSR488UUT,68,female
34,/experiments/ENCSR204RHR/,ENCSR204RHR,68,male
35,/experiments/ENCSR439ZVQ/,ENCSR439ZVQ,20,male
36,/experiments/ENCSR352DXB/,ENCSR352DXB,57,male
37,/experiments/ENCSR751BHQ/,ENCSR751BHQ,25,male
38,/experiments/ENCSR899GYX/,ENCSR899GYX,58,male
39,/experiments/ENCSR093GXF/,ENCSR093GXF,62,male
40,/experiments/ENCSR962JKS/,ENCSR962JKS,21,male
41,/experiments/ENCSR067BOK/,ENCSR067BOK,50,female
42,/experiments/ENCSR259VOY/,ENCSR259VOY,54,male
43,/experiments/ENCSR801DHT/,ENCSR801DHT,41,male
44,/experiments/ENCSR481QQR/,ENCSR481QQR,46,female
45,/experiments/ENCSR176WWW/,ENCSR176WWW,25,female
46,/experiments/ENCSR398YBK/,ENCSR398YBK,48,female
47,/experiments/ENCSR349AHE/,ENCSR349AHE,45,male
48,/experiments/ENCSR138JCM/,ENCSR138JCM,69,female
49,/experiments/ENCSR203YOV/,ENCSR203YOV,69,male
50,/experiments/ENCSR681GPY/,ENCSR681GPY,43,male
51,/experiments/ENCSR755CIF/,ENCSR755CIF,47,female
52,/experiments/ENCSR405YKM/,ENCSR405YKM,59,female
53,/experiments/ENCSR727OYO/,ENCSR727OYO,41,female
